,"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
"('O', 'C', 1)",1.0,-0.25346714865301523,-0.2594834597690311,-0.15744249981309574,0.0481065885196288,0.024922610376002366,0.0922893469042573
"('N', 'H', 1)",-0.25346714865301523,1.0,0.3498292450425455,0.012703692244024933,-0.0071314417786314775,-0.09530669493326441,-0.04414061637233536
"('N', 'C', 1)",-0.2594834597690311,0.3498292450425455,1.0,-0.0715193681711485,0.4238112003553116,0.07915741974210411,-0.0011716698994475433
"('N', 'C', 1.5)",-0.15744249981309574,0.012703692244024933,-0.0715193681711485,1.0,-0.08751088935032547,-0.14997742605841516,0.06808736467598468
"('C', 'H', 1)",0.0481065885196288,-0.0071314417786314775,0.4238112003553116,-0.08751088935032547,1.0,0.6776551664807249,-0.022963006765552376
"('C', 'C', 1)",0.024922610376002366,-0.09530669493326441,0.07915741974210411,-0.14997742605841516,0.6776551664807249,1.0,-0.30133821284655854
"('C', 'C', 1.5)",0.0922893469042573,-0.04414061637233536,-0.0011716698994475433,0.06808736467598468,-0.022963006765552376,-0.30133821284655854,1.0
