Br,C,Cl,F,H,I,N,O,P,S,amines,alcohol,ether,alkyl halide,thiol,aldehyde,aldehyde2,ketone,amides,sulfide,amines2,amines3,carbodiimides,nitrates,esters,haloalkene,haloalkene2,haloalkene3,haloalkene4,imine,nitro,cyanide,isocyanate,azocompound,sulfoxide,azido,nitroso,phospate,phospite,isothio,thioamide,nitro2,aromatic,cycle
2,28,1,3,47,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
0,5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,24,1,1,22,1,0,7,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0,9,0,1,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
