0,1,2,3
0.4051252,0.14227016,0.29256475,0.16003992
0.37212232,0.16939631,0.326812,0.13166939
0.21368076,0.07786958,0.36293858,0.34551108
0.3938655,0.18824238,0.25769934,0.16019277
0.122435294,0.25542974,0.4543604,0.16777459
0.4391337,0.13878503,0.22683944,0.1952418
0.29185197,0.15228823,0.2540406,0.30181924
0.2658259,0.17199574,0.2644967,0.2976817
0.32920945,0.17676741,0.30395958,0.19006364
0.30523178,0.18685192,0.24864347,0.2592728
0.2934248,0.24144247,0.33873484,0.12639795
0.30131003,0.20183128,0.39324316,0.10361552
0.29973918,0.30698815,0.17261298,0.22065966
0.2587237,0.15598829,0.35609987,0.22918813
0.2500606,0.2907277,0.24115066,0.21806102
0.4874514,0.07989846,0.19564773,0.23700243
0.27792516,0.16541651,0.15044352,0.40621486
0.31080315,0.0839976,0.3195843,0.28561494
0.34881514,0.15270762,0.31181332,0.18666391
0.40971082,0.19450846,0.23582068,0.15996005
0.35253385,0.195699,0.20236371,0.24940343
0.36121076,0.22759992,0.29209065,0.119098604
0.27024367,0.28076833,0.10698593,0.3420021
0.24413277,0.20181243,0.27096263,0.28309217
0.26607582,0.20313802,0.25938913,0.27139702
0.3234455,0.1434067,0.31869215,0.21445562
0.29633114,0.1816809,0.3952737,0.12671429
0.36787486,0.13712507,0.26855215,0.22644791
0.32597712,0.14746284,0.396575,0.12998506
0.42842764,0.17351316,0.21756479,0.18049447
0.2442334,0.3013724,0.29954225,0.15485194
0.30623284,0.13813764,0.34245723,0.21317224
0.3906255,0.14926773,0.27892873,0.18117799
0.29704246,0.20108561,0.2901984,0.21167353
0.37628624,0.14769809,0.24227911,0.23373656
0.36637926,0.12581976,0.3608976,0.1469034
0.20855866,0.25180605,0.48088467,0.058750525
0.2811984,0.21161473,0.31804463,0.18914218
0.35347924,0.10177727,0.35756618,0.18717735
0.31700343,0.23457989,0.23560187,0.21281482
0.35897264,0.13014206,0.33673885,0.17414647
0.34376994,0.08536756,0.2918287,0.27903375
0.39214903,0.20665969,0.15518439,0.24600689
0.383426,0.16032965,0.3122771,0.14396718
0.32569206,0.24651323,0.18086684,0.24692792
0.33942193,0.3675804,0.1419439,0.15105374
0.36766255,0.16496249,0.33495772,0.13241729
0.3317643,0.26731184,0.25352368,0.14740016
0.2803459,0.14743076,0.33253595,0.23968743
0.40942472,0.34807396,0.16448581,0.07801553
0.35757145,0.15096067,0.37783548,0.113632426
0.35802808,0.11194874,0.26879877,0.26122442
0.28392544,0.09378999,0.32558942,0.29669514
0.32248884,0.18938763,0.2476622,0.24046127
0.30087036,0.39158857,0.15253012,0.15501098
0.2590079,0.14963585,0.36149073,0.22986546
0.34949645,0.27596417,0.15919831,0.21534105
0.28929654,0.20340349,0.31984094,0.18745904
0.33943716,0.14567503,0.21110103,0.3037868
0.20812115,0.15076567,0.44843242,0.19268082
0.28463006,0.28440672,0.10726252,0.32370067
0.34808388,0.19605912,0.2758003,0.18005666
0.26209295,0.1591728,0.35454658,0.22418769
0.40754485,0.15907176,0.32595327,0.10743007
0.3232383,0.3294174,0.21998566,0.12735854
0.25365123,0.21937224,0.35053188,0.17644466
0.284372,0.32256278,0.18438229,0.20868294
0.3646794,0.16125906,0.2932919,0.18076965
0.39409417,0.13169496,0.26173416,0.21247676
0.2295558,0.16663314,0.22472142,0.37908962
0.37533942,0.113203056,0.32612422,0.18533325
0.3446112,0.14791578,0.379932,0.12754104
0.37122422,0.101881824,0.2994075,0.2274864
0.4194128,0.20615427,0.22256055,0.15187243
0.45444754,0.05511689,0.17425242,0.31618318
0.33537552,0.20552471,0.24150741,0.21759239
0.29890257,0.25594032,0.2751861,0.16997103
0.19512427,0.3549527,0.296085,0.15383808
0.17849146,0.39032975,0.28893462,0.14224422
0.26461467,0.117749505,0.37451428,0.24312155
0.311452,0.21576707,0.26213846,0.21064247
0.38831308,0.1850638,0.29754195,0.12908123
0.29958245,0.24547423,0.28866765,0.16627574
0.22597562,0.14585826,0.4378017,0.19036439
0.13828427,0.2450344,0.21053512,0.40614617
0.30871665,0.22850601,0.19372886,0.26904854
0.36342308,0.19366324,0.22031608,0.22259757
0.4668807,0.12875313,0.22299239,0.18137373
0.3344615,0.17899927,0.26114967,0.22538954
0.22206879,0.4410598,0.12929006,0.20758131
0.22146416,0.27187696,0.17366672,0.33299223
0.20160706,0.17431785,0.30452833,0.31954676
0.33651438,0.22461897,0.11917345,0.3196932
0.24058926,0.1318835,0.35545173,0.27207547
0.23878078,0.25200447,0.15800913,0.3512056
0.30516803,0.2804811,0.24056439,0.17378648
0.42387527,0.10708452,0.26488322,0.20415697
0.1356157,0.30457065,0.2790485,0.2807651
0.40391698,0.13000289,0.2594051,0.20667505
0.39861846,0.14890365,0.32255772,0.12992024
0.3017067,0.15439552,0.30332056,0.24057719
0.38922927,0.10600639,0.23692879,0.26783556
0.29281655,0.2959272,0.17499962,0.23625663
0.41235805,0.20331503,0.2174439,0.16688307
0.22761881,0.20793775,0.32352832,0.24091515
0.41403544,0.14620362,0.3597844,0.0799765
0.31976995,0.113792986,0.36537397,0.20106308
0.2409394,0.27638808,0.37360138,0.10907117
0.4906134,0.13226444,0.18816443,0.1889577
0.18197908,0.1801929,0.35432512,0.28350294
0.30371645,0.09116567,0.3671402,0.23797768
0.26165313,0.2964449,0.2408277,0.20107429
0.22046576,0.14588332,0.38132048,0.2523305
0.26422858,0.18825735,0.29203907,0.25547504
0.25248227,0.17067444,0.28402784,0.29281548
0.2794881,0.08606824,0.31351253,0.32093117
0.3166086,0.21024549,0.30564058,0.16750531
0.33606482,0.122729994,0.39179435,0.14941084
0.29575515,0.114531554,0.34505355,0.2446598
0.23566173,0.2993355,0.21816204,0.2468407
0.36109656,0.16300094,0.21489128,0.26101124
0.39460468,0.19324623,0.25378734,0.15836178
0.2704995,0.29146576,0.112966225,0.3250685
0.19181503,0.1760714,0.3976852,0.23442842
0.17458946,0.4102125,0.24193867,0.17325936
0.2625908,0.2608451,0.20716056,0.26940358
0.36562183,0.20396304,0.23383564,0.19657952
0.27216822,0.35167217,0.19470605,0.18145357
0.33328176,0.1810231,0.2304972,0.25519788
0.2264434,0.23218973,0.20812868,0.3332382
0.30638736,0.2963093,0.20009689,0.19720644
0.26727393,0.1900709,0.35288724,0.18976793
0.2938821,0.11671666,0.265234,0.32416728
0.30327427,0.3634788,0.18446375,0.14878313
0.29577056,0.40726677,0.02902005,0.26794264
0.25460175,0.1643274,0.35625497,0.2248159
0.4585751,0.2558331,0.10253983,0.18305199
0.45845044,0.12909772,0.26533556,0.14711627
0.46388805,0.14489289,0.24818584,0.14303324
0.3119372,0.24620633,0.20701945,0.23483698
0.29992512,0.12129553,0.3581722,0.2206072
0.2106081,0.12999594,0.36109355,0.2983024
0.33879006,0.28841424,0.21077344,0.16202223
0.33940908,0.1337348,0.3241074,0.2027487
0.29846254,0.28838766,0.09107726,0.32207254
0.37964347,0.22339025,0.17282914,0.22413714
0.4373601,0.23335283,0.16574228,0.16354479
0.24866793,0.10874015,0.38782004,0.25477186
0.28724116,0.29304692,0.21390778,0.20580414
0.2886318,0.36816123,0.23771451,0.1054925
0.2346495,0.24192385,0.19767839,0.32574826
0.2633086,0.26253954,0.31519008,0.15896177
0.25014856,0.2839121,0.17984304,0.2860963
0.29528332,0.2778318,0.14462106,0.28226382
0.49686795,0.10850402,0.15277468,0.24185343
0.3223913,0.19248457,0.15007465,0.3350495
0.2117738,0.33192325,0.22237757,0.23392539
0.35748005,0.119406976,0.35993358,0.16317937
0.2923579,0.2339733,0.36094669,0.11272213
0.30067727,0.12990169,0.319895,0.249526
0.26100627,0.10727557,0.4765229,0.15519525
0.37487566,0.14892925,0.24881609,0.22737893
0.17849146,0.39032975,0.28893462,0.14224422
0.395603,0.21940283,0.24421401,0.14078008
0.2091587,0.3583561,0.2586007,0.17388451
0.58010674,0.18422681,0.12361666,0.11204985
0.2463592,0.116045214,0.3160542,0.3215413
0.3243357,0.3452762,0.18479589,0.14559214
0.2890244,0.16760778,0.2919139,0.2514539
0.3170585,0.09673935,0.33215225,0.2540499
0.17967401,0.08344841,0.29077107,0.4461065
0.25190258,0.16314335,0.26319632,0.32175773
0.25132895,0.17373738,0.29012546,0.28480822
0.19665998,0.19648953,0.34587342,0.26097706
0.25311163,0.20803761,0.2857429,0.25310782
0.30675292,0.16637158,0.25322855,0.27364692
0.30587935,0.23059997,0.19512224,0.2683985
0.2147772,0.14483477,0.47527072,0.16511734
0.3073811,0.23658724,0.27178225,0.1842494
0.2315373,0.24564831,0.2994067,0.22340763
0.3009578,0.13434759,0.3347087,0.22998591
0.31608763,0.14378648,0.2579099,0.28221604
0.1840258,0.3614404,0.23061226,0.22392157
0.41175133,0.17704698,0.21732329,0.19387849
0.28549787,0.29783475,0.081155784,0.33551162
0.28832236,0.21263511,0.22435689,0.2746856
0.29195407,0.11163211,0.28850126,0.30791256
0.3264643,0.10170411,0.41189888,0.15993266
0.3149107,0.22979897,0.21941726,0.23587303
0.45335984,0.21997945,0.21601075,0.11064993
0.35648692,0.16165195,0.30373412,0.17812695
0.23233779,0.34826398,0.28662962,0.13276869
