,C,F,N,O,S
C,1.0,-0.09167989960705004,0.1976497226786742,0.15192455518758255,-0.12518620330654587
F,-0.09167989960705004,1.0,-0.08993891297679864,-0.18419224439743084,-0.23550187752963847
N,0.1976497226786742,-0.08993891297679864,1.0,-0.28329043096891604,-0.03146849265777511
O,0.15192455518758255,-0.18419224439743084,-0.28329043096891604,1.0,-0.010548094916295244
S,-0.12518620330654587,-0.23550187752963847,-0.03146849265777511,-0.010548094916295244,1.0
