,"('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'C', 1)","('O', 'C', 2)","('C', 'H', 1)"
"('N', 'H', 1)",1.0,0.2249942454118232,-0.0026686044981685452,-0.09369341519563638,-0.08024191947077218,-0.011561923034017006
"('N', 'C', 1)",0.2249942454118232,1.0,-0.044838516564048615,0.09596840627207515,0.024666622735892697,0.479748131896182
"('N', 'C', 1.5)",-0.0026686044981685452,-0.044838516564048615,1.0,-0.12318487583972249,-0.0052304323193960705,-0.08145096458325664
"('C', 'C', 1)",-0.09369341519563638,0.09596840627207515,-0.12318487583972249,1.0,0.05374677094431899,0.6772699216928236
"('O', 'C', 2)",-0.08024191947077218,0.024666622735892697,-0.0052304323193960705,0.05374677094431899,1.0,-0.09027075214462901
"('C', 'H', 1)",-0.011561923034017006,0.479748131896182,-0.08145096458325664,0.6772699216928236,-0.09027075214462901,1.0
