H,C,N,O,S,F,Si,P,Cl,Br,Mg,Na,Ca,Fe,As,Al,I,B,V,K,Tl,Yb,Sb,Sn,Ag,Pd,Co,Se,Ti,Zn,Li,Ge,Cu,Au,Ni,Cd,In,Mn,Zr,Cr,Pt,Hg,Pb,Unknown,S,SP,SP2,SP3,SP3D,SP3D2,OTHER,total_atom_in_ring,total_atom_in_aromatic_ring,atomic_mass,total_CHI_UNSPECIFIED,total_CHI_TETRAHEDRAL_CW,total_CHI_TETRAHEDRAL_CCW,total_CHI_OTHER,total_single,total_double,total_triple,total_aromatic,total_conjugated_bond,total_bond_in_ring,total_STEREOZ,total_STEREOE,toal_STEREOANY,total_STEREONONE
0,24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,28,23,0,30,0,0,0,11,1,0,24,29,30,0,0,0,36
0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,0,0,15,2,5,0,27,0,0,0,0,21,0,0,0,28
0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,9,9,0,14,0,0,0,3,1,0,10,16,10,0,0,0,15
0,26,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,27,5,0,31,1,1,0,29,5,0,6,16,31,0,0,0,40
