,amines,aldehyde,aromatic,cycle
amines,1.0,0.08663954262881006,-0.07991058110187403,0.09542827420334238
aldehyde,0.08663954262881006,1.0,-0.05656442953322588,0.12852966444312203
aromatic,-0.07991058110187403,-0.05656442953322588,1.0,-0.26084953566905017
cycle,0.09542827420334238,0.12852966444312203,-0.26084953566905017,1.0
