"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
1,3,1,0,12,5,6
5,2,5,0,34,13,6
4,3,5,0,14,4,6
0,3,4,2,19,10,8
0,3,4,2,17,8,1
0,3,8,0,25,6,6
0,2,8,0,25,9,6
0,3,10,0,28,12,6
2,3,4,0,20,7,6
11,0,0,0,22,9,0
1,3,1,2,7,3,1
0,2,5,0,26,10,6
0,3,2,4,19,9,1
4,2,6,0,19,5,6
0,3,1,0,17,9,3
2,1,2,0,24,11,6
1,3,1,0,18,6,6
4,2,8,0,32,9,12
1,2,8,0,23,8,0
1,2,2,0,17,8,0
3,2,5,0,24,11,0
4,1,3,0,22,8,6
1,1,6,0,25,13,0
0,3,8,0,28,10,0
5,1,4,0,19,10,12
0,1,3,0,21,8,3
0,3,10,0,26,11,6
0,3,7,2,20,5,4
1,3,1,0,10,4,3
0,2,2,0,23,11,6
0,2,6,0,16,8,12
1,3,8,0,26,11,12
0,1,4,0,13,8,12
4,2,2,0,30,13,9
0,4,10,0,22,9,6
0,0,0,0,26,22,0
4,0,0,0,18,12,0
1,3,5,0,20,7,3
0,3,2,4,16,6,3
1,3,8,0,21,10,6
4,0,0,0,24,13,0
0,3,1,2,15,6,10
0,2,5,5,27,8,6
0,3,7,0,20,5,6
0,2,2,0,26,11,0
0,2,7,0,20,8,6
0,2,6,0,32,12,12
4,2,2,0,22,7,6
2,2,4,0,23,7,3
0,2,5,0,17,6,6
1,4,6,0,27,14,12
0,3,7,0,26,9,6
2,3,8,0,21,9,0
0,2,2,0,17,7,9
1,1,3,0,32,18,0
2,1,3,0,14,4,6
3,0,2,4,21,8,2
1,2,10,0,35,12,6
2,3,1,2,18,8,7
3,0,6,0,23,13,6
0,4,12,0,20,6,0
0,2,1,0,6,8,0
0,2,8,0,30,12,3
3,3,1,0,22,8,6
1,3,3,2,12,3,4
0,3,14,0,33,12,0
1,2,5,0,24,10,6
10,0,0,0,16,7,0
0,4,3,0,21,11,3
0,3,7,0,24,9,6
0,2,5,2,26,9,7
2,1,4,0,29,14,6
0,2,2,4,18,9,5
5,2,2,0,19,7,6
2,3,4,0,20,7,6
4,1,3,0,27,7,12
0,0,3,0,23,11,3
0,3,8,0,30,13,12
0,3,7,0,23,12,0
0,4,7,0,25,13,6
0,5,5,2,12,2,4
0,1,3,0,21,9,0
4,3,4,4,24,9,6
3,3,4,0,27,11,0
2,3,3,0,15,9,6
2,3,1,0,21,13,0
2,1,5,0,25,12,3
4,2,2,2,20,4,10
2,2,5,0,25,7,6
0,2,11,0,27,13,0
2,3,7,2,22,6,7
0,3,10,0,22,12,0
0,4,4,0,28,12,0
4,1,2,0,22,10,0
4,1,3,0,23,6,6
2,1,3,0,25,10,3
2,2,5,0,18,10,6
4,2,8,0,34,11,6
0,2,2,0,16,4,6
0,2,10,2,18,8,1
2,3,1,2,13,5,0
4,2,4,0,24,13,6
0,2,6,0,20,6,6
0,1,6,0,26,8,6
0,3,3,0,24,10,0
2,0,1,4,20,8,8
0,0,0,4,22,12,8
2,4,3,0,15,9,6
2,2,5,0,19,10,3
1,3,5,0,36,19,0
0,1,7,0,24,7,6
0,1,3,3,25,12,6
1,4,4,0,25,15,0
0,1,6,4,19,5,2
0,2,5,0,11,4,0
3,1,2,0,17,8,0
0,1,4,0,22,12,6
0,2,2,0,11,3,9
2,5,9,0,18,7,6
2,2,8,0,30,8,8
2,2,8,2,23,6,10
2,3,4,0,18,8,0
4,4,4,0,22,6,6
0,2,9,0,25,7,6
5,0,0,0,29,25,0
2,2,6,4,14,3,2
0,2,3,0,14,9,0
0,3,7,2,24,8,4
0,2,8,0,29,12,0
3,1,5,0,6,3,0
1,3,6,0,12,8,0
0,3,4,4,22,9,2
0,2,2,0,15,4,6
0,4,11,0,28,7,12
4,2,2,0,30,11,6
0,0,0,0,10,4,3
2,2,2,0,20,10,6
0,2,1,0,13,5,3
1,1,3,0,18,6,11
0,1,6,6,33,17,3
4,1,3,0,27,9,6
2,2,2,0,34,19,0
6,0,0,0,20,8,0
4,3,1,0,21,9,6
0,3,7,0,18,4,6
0,3,8,0,20,9,6
2,2,2,2,21,6,10
0,3,10,0,28,8,6
4,2,6,2,27,11,4
0,3,4,0,19,5,3
0,2,5,4,20,9,8
2,2,2,0,24,10,12
0,1,9,0,29,10,0
2,3,5,0,17,3,6
2,0,6,0,17,6,3
2,3,5,0,22,10,3
2,2,2,0,28,14,0
1,2,5,0,21,10,6
2,2,5,0,26,8,6
0,1,2,3,23,17,0
4,2,5,0,30,12,6
1,1,6,0,25,7,6
0,1,5,0,25,17,6
0,3,7,0,23,7,12
2,2,2,2,21,9,1
0,2,2,0,23,12,6
3,2,5,2,22,9,9
3,1,2,0,21,15,6
0,4,7,0,29,11,0
2,2,5,2,19,6,6
1,2,9,0,27,11,6
1,0,0,0,14,10,0
6,2,5,0,25,6,6
0,3,5,0,26,11,0
0,3,10,0,24,5,12
2,1,3,3,23,8,6
2,3,10,0,25,8,12
2,2,5,0,18,5,12
0,3,7,0,15,5,0
0,5,12,0,23,8,0
5,2,5,0,17,4,6
0,3,5,0,19,6,0
2,3,3,0,24,5,12
0,2,2,0,13,5,6
0,3,10,0,26,11,6
0,2,2,0,20,9,3
1,3,5,0,28,11,12
0,4,4,0,34,19,0
1,3,4,1,12,5,2
3,2,6,2,24,6,8
0,1,5,0,19,8,3
1,2,4,0,16,10,0
0,0,6,0,38,24,0
2,2,4,0,23,6,6
0,3,3,0,12,8,0
0,4,4,0,24,13,0
0,2,2,2,8,1,10
2,1,3,2,21,8,8
0,2,7,0,25,6,6
0,3,6,0,13,7,0
0,2,11,0,27,9,6
0,3,7,6,18,5,7
0,4,13,0,22,8,0
0,3,4,2,20,6,4
2,2,2,0,22,8,6
0,4,7,0,29,12,0
2,3,8,0,20,7,0
0,4,8,0,30,12,0
1,3,8,1,24,10,8
8,0,0,0,16,6,0
2,3,6,0,24,7,9
0,2,8,2,25,7,4
0,2,3,4,17,7,7
0,3,4,0,24,7,6
2,3,5,2,25,14,2
1,1,3,0,28,13,0
2,2,2,0,24,12,0
2,2,6,2,27,8,7
0,1,12,4,31,10,2
1,0,6,0,15,4,3
0,2,4,0,26,10,6
1,2,9,0,13,3,9
0,3,7,2,24,8,10
3,0,0,0,16,9,0
0,0,6,0,25,12,6
0,2,5,0,25,12,0
1,1,3,0,17,9,6
0,3,7,0,22,8,0
1,1,2,4,17,8,1
0,2,2,0,24,10,6
0,3,5,0,18,7,3
2,2,1,0,16,14,0
2,2,2,0,24,12,0
4,3,3,6,22,6,14
1,1,3,0,8,5,0
0,2,8,0,26,11,6
0,3,5,0,21,9,0
0,1,1,4,11,4,3
0,2,3,0,26,15,6
0,1,6,0,16,9,3
0,3,1,0,14,6,6
1,2,3,5,18,9,8
0,2,13,6,28,6,6
0,1,3,0,24,10,0
0,3,7,0,15,4,6
2,1,5,0,13,10,0
2,0,2,0,15,6,6
1,1,5,2,23,8,1
4,2,5,0,25,9,6
0,3,4,0,18,7,6
1,3,5,0,20,8,6
3,1,3,0,26,8,0
2,2,8,0,28,10,0
0,2,5,2,21,8,7
1,3,1,0,26,13,6
1,1,3,0,16,5,0
4,1,6,0,29,7,6
4,0,6,0,32,13,12
0,2,10,0,22,12,0
0,3,10,0,22,6,6
0,4,4,8,14,8,2
1,3,7,0,17,4,6
0,2,8,0,25,11,0
0,2,5,0,23,13,0
2,1,1,2,5,2,9
0,3,1,0,23,12,6
2,3,7,0,27,10,0
0,4,9,0,17,6,6
3,0,0,0,35,25,0
1,2,3,2,21,7,14
2,2,2,2,25,10,4
0,3,4,2,20,7,15
1,2,6,0,31,12,6
2,3,6,4,12,4,2
4,2,5,0,27,8,0
0,3,5,0,16,6,0
0,2,3,2,18,5,7
2,4,3,2,16,5,4
0,5,7,0,29,12,0
2,2,4,0,31,10,6
0,4,10,0,31,15,0
0,3,1,0,14,6,6
0,2,5,0,17,9,0
0,4,2,0,19,8,0
0,1,3,2,19,6,1
2,1,2,2,25,14,1
4,1,6,0,28,8,6
4,1,6,0,25,7,6
0,2,2,2,15,5,10
0,3,2,0,18,10,9
0,3,5,5,23,7,9
1,1,1,0,23,10,0
2,3,7,0,27,10,0
0,1,3,0,21,10,6
3,2,5,2,21,6,10
3,0,0,0,20,13,0
3,3,1,0,24,13,6
4,3,4,0,21,8,6
1,1,3,0,17,7,3
3,2,8,0,18,7,6
5,0,0,0,21,10,0
4,3,2,2,21,7,8
