"('O', 'C', 1)","('N', 'H', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('C', 'H', 1)","('C', 'C', 1)","('C', 'C', 1.5)"
1,0,0,0,27,21,0
4,2,6,2,29,8,10
2,2,2,0,21,8,6
2,2,5,0,24,7,6
0,1,1,0,24,14,0
1,1,3,0,28,9,6
2,2,5,0,27,14,0
0,4,10,0,30,7,12
3,0,3,0,20,14,0
1,1,6,4,21,11,2
1,0,6,0,15,8,0
0,3,5,0,22,9,6
2,2,2,2,20,8,7
0,3,4,0,26,12,6
0,1,7,0,16,4,9
2,3,4,0,20,8,0
2,1,6,0,12,6,12
0,2,6,0,28,10,6
1,2,9,0,31,10,6
4,2,2,0,20,7,6
2,2,8,0,34,15,0
1,3,4,2,17,7,0
1,4,5,0,12,6,0
0,3,3,0,22,6,6
6,2,2,0,27,8,12
0,1,9,2,24,8,4
2,1,6,0,28,10,3
3,1,5,0,20,8,0
1,4,8,2,26,7,4
0,0,6,2,25,13,1
0,2,6,2,19,6,5
0,2,5,0,27,11,0
0,3,7,1,20,8,2
4,1,2,0,34,25,0
0,2,8,0,32,13,0
0,3,11,4,24,8,2
0,3,9,2,22,6,10
4,3,4,0,20,6,6
0,3,2,2,20,7,8
2,4,2,0,21,9,12
0,2,5,0,26,13,3
0,4,4,2,18,7,4
4,3,1,4,13,5,2
3,1,3,0,19,6,6
0,3,11,0,35,12,0
0,0,3,0,18,15,6
2,1,6,0,30,13,0
2,3,5,0,25,10,6
0,2,7,0,9,4,6
2,3,8,0,27,11,6
1,2,12,0,22,4,6
0,3,11,0,24,13,6
0,5,12,0,19,8,6
2,3,1,0,23,11,6
1,1,3,0,9,6,0
0,2,5,2,26,12,1
4,2,6,2,25,10,8
0,5,7,0,25,13,0
2,3,8,0,27,9,12
0,4,10,2,26,10,4
0,1,6,4,24,10,5
1,2,2,0,10,3,6
1,1,3,0,28,12,0
0,3,4,0,22,9,6
1,1,3,0,26,14,0
8,0,0,0,24,10,6
0,4,9,2,15,5,12
1,2,4,0,19,10,0
1,1,3,0,28,14,0
0,2,2,0,24,12,6
1,1,4,0,14,8,12
0,4,3,0,23,14,0
1,2,6,0,23,10,6
0,3,5,0,33,15,0
10,1,2,0,22,9,6
3,0,0,0,17,9,0
0,2,8,0,25,8,6
2,1,5,0,23,11,9
2,5,8,4,21,6,8
1,3,7,0,23,15,0
3,1,6,0,21,9,6
2,2,2,0,32,18,0
0,3,4,1,18,9,1
0,2,6,0,15,3,9
0,3,7,2,20,4,7
0,2,10,0,23,10,3
2,3,7,0,23,6,6
3,3,4,2,15,7,3
0,4,7,0,18,5,6
2,2,8,0,26,10,0
0,2,8,0,24,8,12
4,1,12,6,29,14,0
4,0,1,0,20,6,9
0,2,2,2,19,8,1
4,0,0,0,37,27,0
2,2,2,0,16,4,6
1,3,1,0,18,9,9
0,1,9,0,27,9,3
1,0,2,0,15,7,3
1,1,6,0,18,4,6
5,1,3,0,26,15,0
0,3,8,2,27,9,4
2,3,4,2,19,7,4
2,2,2,0,28,13,6
0,4,6,2,23,6,4
1,1,3,0,15,3,6
4,1,4,0,22,6,6
0,3,8,0,24,6,6
2,1,3,0,19,6,3
0,5,7,0,23,9,0
0,3,11,0,31,9,6
4,0,3,0,15,6,6
2,3,4,0,11,5,0
0,1,4,0,30,14,6
1,2,8,0,24,8,6
0,2,2,2,16,5,7
2,1,2,0,20,7,12
3,2,8,0,33,15,0
2,1,2,0,28,9,6
0,2,2,0,19,10,3
2,2,2,0,24,9,6
1,0,4,0,13,5,6
0,3,8,0,21,7,6
0,3,7,0,26,9,6
0,1,3,0,24,8,6
1,1,3,0,21,8,6
0,1,5,0,32,12,6
1,0,0,0,20,13,6
0,2,8,0,32,10,6
4,1,3,2,23,11,8
2,2,5,0,27,11,0
1,2,5,2,15,4,4
0,3,13,0,19,8,0
2,2,6,2,25,9,4
0,1,2,0,18,12,0
0,1,3,0,19,9,6
6,3,9,0,27,7,12
2,2,7,2,22,8,4
1,5,2,0,9,3,6
0,4,11,2,24,8,4
14,0,0,0,32,19,6
2,2,8,0,25,6,6
1,4,3,0,9,5,0
2,2,5,0,31,14,0
2,1,6,2,23,9,10
5,2,7,2,17,9,4
0,3,7,4,21,10,5
0,2,5,2,7,3,6
0,3,7,0,33,17,0
0,4,12,0,20,4,3
0,1,3,2,24,4,16
2,2,10,0,24,10,0
2,2,2,2,24,10,7
0,5,9,0,27,9,0
2,3,5,2,15,5,1
4,1,3,0,22,6,6
1,3,2,2,16,7,7
1,3,4,0,19,6,6
0,5,8,0,26,12,6
2,1,6,0,28,9,0
0,3,1,0,23,14,0
0,1,8,4,18,6,8
2,3,7,0,23,6,6
0,1,6,0,22,7,9
0,2,2,2,14,7,6
0,3,8,0,32,15,0
0,2,1,0,12,5,6
0,0,8,0,28,13,6
0,4,6,2,18,6,4
0,3,8,0,27,7,6
0,3,4,5,15,6,3
3,2,2,2,24,10,4
0,2,5,2,20,6,1
0,2,8,0,22,8,6
0,2,2,2,20,7,4
2,2,2,0,20,6,6
1,1,6,0,24,9,6
0,1,6,4,22,5,8
0,3,8,4,21,7,2
0,2,8,0,29,14,0
2,1,5,0,23,7,6
0,4,10,0,23,9,3
0,5,11,0,23,6,9
0,2,4,0,4,1,6
2,3,1,2,22,7,10
3,1,3,0,18,7,6
3,2,2,0,25,12,6
3,2,4,0,14,7,9
4,3,8,0,23,7,6
1,2,5,0,26,11,6
0,2,8,4,25,10,2
0,3,4,0,14,6,3
7,1,3,0,26,6,12
0,1,6,0,10,4,6
4,0,6,0,33,18,6
2,2,9,0,27,15,6
2,1,6,8,22,8,7
2,2,5,4,20,4,10
0,1,6,0,21,7,6
0,2,8,0,32,14,6
0,3,5,2,17,6,8
2,2,7,4,28,8,8
4,3,1,0,15,5,6
0,2,2,2,16,5,10
3,3,2,2,13,3,11
0,2,5,0,24,6,6
0,3,5,0,27,12,0
2,2,5,0,29,12,6
2,2,5,0,23,7,0
2,5,8,0,22,9,6
0,0,5,2,32,16,6
3,2,2,0,15,4,6
2,2,2,2,19,4,10
0,4,7,0,29,13,0
1,2,5,2,21,7,4
2,1,6,0,36,13,6
0,4,7,0,27,12,0
0,1,3,0,23,9,3
2,2,6,4,28,10,7
0,4,6,0,15,3,6
0,2,6,2,26,12,8
1,2,7,0,24,10,12
1,2,2,0,27,10,6
2,2,8,0,34,13,6
2,3,7,0,23,7,6
2,1,6,0,22,6,3
0,5,6,2,22,10,8
4,0,0,0,32,25,0
2,3,6,2,28,9,8
6,2,2,0,24,9,6
3,0,0,0,25,16,0
0,3,4,0,19,8,6
2,2,8,0,27,16,0
1,2,4,0,10,5,6
1,2,6,0,29,13,6
0,3,7,1,26,9,8
2,0,6,0,28,17,0
2,1,2,0,13,8,3
0,2,6,3,26,9,10
0,4,9,0,24,9,6
0,3,10,4,22,6,2
4,2,8,0,27,10,6
3,1,3,0,14,5,6
2,1,9,4,29,9,7
8,1,3,0,27,9,12
0,2,6,4,27,14,2
0,3,4,6,21,8,6
2,2,9,0,26,9,12
0,1,6,0,25,10,0
2,4,4,2,19,6,4
0,2,2,2,21,12,2
0,1,6,2,29,11,10
1,1,9,0,15,4,0
0,3,4,0,24,15,0
1,3,7,0,24,8,6
1,2,8,0,23,10,0
2,2,6,4,30,12,2
0,3,8,0,29,10,6
0,2,9,0,35,12,6
4,2,5,0,25,12,0
0,1,3,0,31,14,0
2,2,2,0,20,7,6
0,4,7,0,31,15,0
7,1,3,0,16,7,12
0,1,6,3,18,8,0
0,3,3,0,19,11,12
1,2,2,0,27,11,6
3,3,1,0,20,8,0
0,2,9,0,33,13,3
2,1,9,0,31,12,6
1,0,0,2,16,8,4
1,2,2,4,13,7,0
1,3,4,0,27,17,0
1,2,9,0,34,12,6
0,3,7,2,22,10,3
1,1,6,0,25,9,0
4,2,4,0,15,7,6
3,1,3,0,26,13,0
1,0,2,4,16,9,2
1,4,5,0,13,7,6
2,3,5,0,19,7,6
3,1,5,0,10,4,6
2,2,6,2,26,9,10
0,4,4,0,24,12,0
7,1,3,0,26,7,6
2,1,9,0,33,10,6
1,1,9,0,29,10,0
0,3,4,0,12,5,9
2,1,6,2,21,7,4
2,3,7,0,28,9,12
0,3,8,0,26,12,6
1,2,5,0,24,10,3
0,3,7,1,22,5,8
0,2,5,2,17,6,7
4,3,5,0,26,13,0
0,1,0,5,10,6,4
2,3,5,0,29,12,0
3,2,4,0,25,13,0
2,1,3,0,24,9,6
0,2,6,2,15,2,6
3,1,5,0,18,11,0
4,3,5,0,24,9,6
1,0,0,0,25,13,0
0,0,6,1,25,11,8
4,2,8,0,32,14,9
0,4,7,0,29,14,0
0,2,8,0,16,5,0
1,2,3,4,26,12,2
0,4,2,4,23,10,1
0,1,12,0,15,6,0
0,1,6,0,25,8,12
2,1,6,0,32,14,0
3,2,7,2,18,5,18
2,2,5,0,27,12,0
0,4,3,0,11,4,3
0,4,7,0,31,14,0
0,4,10,0,30,12,6
2,4,3,0,19,6,12
6,2,2,1,25,10,8
0,2,5,2,26,7,7
0,4,7,4,19,3,12
1,3,6,2,11,7,3
4,2,2,0,30,16,0
2,1,6,0,26,12,15
0,1,7,0,25,9,9
0,3,5,2,22,9,10
2,2,6,0,28,12,6
1,3,2,2,17,7,14
5,1,6,0,27,10,12
0,0,1,0,15,11,0
2,3,8,0,38,16,0
0,1,8,0,32,13,6
1,3,7,0,21,9,0
2,1,6,1,19,4,7
1,4,3,0,11,6,6
0,2,2,0,26,13,0
0,2,6,2,21,7,7
0,4,13,2,22,6,10
0,3,8,0,36,15,0
2,2,4,0,24,11,0
1,2,5,0,15,6,6
2,2,6,0,25,10,0
3,2,4,0,23,12,12
2,4,6,0,18,6,6
2,3,5,0,24,11,6
0,2,8,0,30,14,3
2,1,2,0,20,11,0
1,3,4,0,16,10,0
2,2,2,0,15,4,3
0,2,2,0,22,9,0
0,2,2,0,23,9,6
1,2,3,0,22,15,6
1,2,2,0,23,12,0
0,3,5,3,21,6,6
2,2,2,0,28,13,6
2,2,8,0,27,11,0
0,1,3,2,16,7,4
2,4,9,4,18,6,2
1,1,2,0,13,5,6
0,0,3,1,28,12,8
0,3,8,1,28,13,2
1,4,4,0,18,9,6
0,2,8,0,27,10,6
0,2,8,0,30,10,6
2,3,4,0,24,9,0
2,3,5,2,23,9,4
0,3,10,0,26,8,0
0,4,5,2,21,8,8
1,2,4,0,25,15,0
0,2,5,2,17,6,10
0,2,9,0,25,10,0
0,2,8,0,26,8,6
0,1,6,0,28,8,12
2,1,3,2,24,8,6
2,1,6,0,25,6,6
1,0,4,0,22,9,12
0,2,3,0,21,11,6
0,0,5,0,19,8,6
1,2,2,2,22,11,1
1,0,0,0,15,8,0
0,2,2,4,22,10,5
0,1,1,2,8,3,5
0,3,2,2,19,5,7
0,2,5,4,20,4,4
4,3,5,0,27,9,6
0,2,2,2,24,12,8
2,0,3,2,26,12,1
0,1,9,0,24,7,12
0,3,7,0,21,8,6
0,3,7,0,21,7,12
0,2,7,0,21,5,12
0,3,1,0,17,8,3
0,4,8,0,25,11,6
0,3,8,0,20,7,9
6,2,2,0,19,3,6
0,3,4,0,24,13,0
1,1,6,0,17,5,6
2,2,2,0,32,17,0
2,2,7,0,21,10,6
1,4,4,0,31,16,0
4,2,6,2,32,9,16
2,3,4,0,22,11,0
4,1,6,0,26,12,6
1,2,4,0,12,6,3
2,1,2,2,19,9,1
1,0,0,0,19,16,0
2,3,10,0,23,7,6
0,0,3,0,9,3,0
0,1,3,0,19,10,0
0,2,7,2,16,8,12
0,4,8,0,34,13,0
0,4,6,0,28,17,0
3,0,0,0,29,18,0
2,3,5,0,24,9,0
2,1,3,0,20,7,6
0,2,5,0,31,16,0
2,0,0,0,11,6,0
2,2,4,0,23,12,6
0,2,5,0,19,8,9
3,1,3,3,24,9,6
0,2,2,5,15,5,4
0,3,15,0,25,10,6
1,1,0,2,16,8,9
0,2,6,0,20,9,6
4,1,11,0,23,8,12
0,3,4,0,20,6,0
4,2,2,3,16,5,6
1,2,5,0,32,16,6
2,0,1,2,22,16,6
4,2,3,4,22,6,7
0,4,4,0,16,11,0
0,2,8,2,23,8,4
1,4,8,2,23,9,14
0,2,8,0,18,5,6
0,2,9,0,27,9,6
4,2,5,0,25,7,6
2,3,11,0,37,17,0
0,0,7,0,17,9,15
0,2,5,0,21,8,0
1,3,12,0,26,13,12
2,4,4,0,17,6,6
0,2,8,0,30,13,3
2,1,2,0,20,12,6
0,3,13,0,31,12,0
0,1,6,2,22,6,11
0,1,6,2,22,11,4
0,3,4,3,17,8,6
2,3,1,0,21,13,0
4,3,9,0,28,7,6
0,2,8,0,33,15,6
1,3,8,0,20,9,6
3,2,5,2,20,7,4
0,1,6,0,27,10,6
0,2,5,4,27,9,8
4,3,8,0,21,8,6
0,2,2,6,19,6,5
2,1,3,0,19,7,12
3,1,3,0,22,6,6
0,2,2,2,18,10,1
0,2,2,2,19,8,4
2,3,4,0,26,12,6
1,4,3,1,11,8,2
0,3,8,0,32,14,0
2,4,12,0,25,10,0
1,3,9,0,24,9,9
0,2,2,0,18,6,6
0,3,5,0,25,10,6
1,2,2,0,23,10,0
0,2,5,0,22,7,6
0,3,5,4,19,6,0
2,4,6,0,22,8,6
0,2,9,1,28,11,2
0,1,6,8,34,14,4
4,3,2,0,16,8,0
0,2,2,0,12,4,6
4,0,3,0,23,9,0
2,0,0,0,23,12,0
1,1,3,0,18,9,12
0,1,3,6,22,12,3
2,2,2,2,14,6,0
2,0,0,0,20,7,0
2,2,2,0,25,10,6
2,1,8,0,22,9,6
0,1,5,0,23,14,0
0,2,4,2,23,13,1
1,2,5,0,25,11,6
0,3,4,4,9,3,4
5,2,2,0,29,14,0
0,2,7,0,20,4,12
2,2,2,0,16,6,6
0,0,3,0,21,13,9
2,2,2,0,20,4,6
1,3,1,0,17,9,6
4,0,0,0,10,7,12
2,2,2,3,26,10,11
4,3,1,0,19,6,11
0,2,6,4,22,9,6
0,1,5,0,27,8,18
2,2,4,2,26,8,4
0,2,9,2,24,12,1
2,0,5,0,14,5,0
2,2,5,0,29,12,6
2,1,5,0,29,12,0
0,0,4,4,20,12,2
2,2,5,0,32,17,6
0,3,5,0,33,15,0
3,1,5,0,21,5,12
0,1,6,3,28,9,6
2,1,3,4,23,12,2
0,2,5,2,24,7,9
1,1,5,0,26,12,0
0,2,2,0,22,9,6
4,0,0,0,22,10,0
0,4,3,0,23,10,0
1,1,3,0,20,11,0
2,2,2,2,16,8,4
3,1,3,0,20,10,12
1,3,5,0,23,8,6
2,2,4,0,28,18,6
2,1,6,0,26,12,6
2,0,0,4,6,2,8
0,1,6,2,22,8,4
2,3,7,0,29,11,0
0,4,7,0,25,9,6
4,0,0,0,18,15,0
0,2,9,2,30,9,4
0,1,4,2,7,2,6
0,2,2,2,6,0,10
2,3,7,0,27,11,0
1,3,1,0,26,16,0
0,2,6,0,22,11,6
0,1,6,0,18,14,0
0,2,5,4,23,8,8
3,2,5,0,32,15,6
0,2,5,0,26,7,6
2,2,2,3,22,11,6
0,2,5,0,21,10,6
3,1,3,0,26,15,0
0,3,7,0,19,9,3
0,2,8,0,20,8,0
2,1,9,2,36,12,4
2,1,2,3,14,7,3
0,2,6,0,22,7,12
5,0,0,0,18,6,6
1,3,7,0,24,9,12
0,2,5,0,23,10,6
2,2,2,0,14,5,6
2,1,2,0,25,12,0
2,2,5,2,20,7,1
2,1,6,0,25,14,3
0,2,5,2,15,4,6
0,3,5,0,21,8,6
2,1,6,0,26,9,9
0,2,12,0,28,8,6
2,2,7,0,27,14,0
0,3,8,0,30,10,0
3,1,6,2,24,9,4
1,3,4,4,10,5,4
4,1,3,2,17,3,10
3,0,3,0,16,8,6
2,3,5,0,29,12,0
0,2,5,0,23,7,6
0,4,6,0,20,7,6
2,1,3,2,20,7,6
0,3,7,0,20,7,12
2,2,2,0,16,5,0
2,3,7,0,22,12,0
0,1,6,0,30,12,6
3,3,4,0,21,12,0
2,1,2,2,3,2,8
0,2,3,6,18,5,7
2,3,2,2,26,10,8
2,2,5,0,20,5,6
0,1,6,0,20,6,6
0,3,5,0,19,8,6
1,1,5,0,24,13,0
0,3,7,0,20,9,9
0,1,5,2,24,14,7
2,2,5,0,21,6,6
2,2,2,0,18,5,6
1,4,3,0,11,6,6
0,3,10,0,28,9,12
0,3,8,0,26,11,0
2,1,5,0,30,12,12
3,2,2,0,21,7,6
0,2,2,0,10,7,3
4,3,4,0,24,11,12
0,2,7,0,21,6,12
0,3,9,0,23,8,6
1,4,2,0,18,8,6
0,1,2,2,17,8,4
0,3,8,2,25,8,4
2,2,2,0,28,16,0
0,1,3,0,21,11,9
2,0,6,0,20,7,6
0,1,6,3,26,10,6
4,2,2,2,23,8,7
0,2,7,0,19,9,0
1,2,5,0,22,8,0
0,2,2,0,28,14,0
0,3,7,0,19,6,6
0,3,1,0,6,2,9
2,0,1,0,10,6,3
0,2,5,2,24,9,6
0,3,4,2,17,7,4
6,2,6,0,14,6,12
0,3,5,6,21,7,10
2,2,2,0,28,13,6
0,0,0,0,2,0,6
1,1,6,0,31,14,0
0,1,1,1,21,14,2
0,2,5,0,25,10,3
0,2,5,0,29,11,6
0,3,8,0,28,14,0
2,3,12,0,25,4,6
0,1,3,2,21,8,4
0,3,4,4,14,8,0
1,2,8,0,25,8,6
1,2,2,2,14,6,7
1,2,5,0,20,9,0
3,1,2,0,18,8,12
0,3,10,0,26,8,0
0,1,2,0,19,8,6
1,3,7,0,28,13,0
0,1,2,4,16,5,2
0,4,5,7,11,7,1
1,1,3,0,13,4,0
0,1,8,2,20,13,0
6,1,3,0,25,8,6
0,4,7,0,16,7,0
0,3,5,0,26,13,0
2,2,5,0,22,9,0
0,2,8,2,23,14,1
0,4,10,0,25,9,6
2,2,2,0,24,14,3
4,1,6,0,32,12,17
3,2,2,0,25,13,0
0,1,8,0,27,9,3
0,3,8,0,20,4,3
2,3,5,0,15,5,6
4,2,5,0,33,15,0
0,5,8,0,14,4,12
0,3,7,2,17,6,7
1,0,4,0,15,8,6
1,0,3,0,14,7,6
0,3,7,0,23,10,0
2,3,8,0,23,12,12
3,2,9,0,34,11,6
0,1,3,2,17,5,7
1,3,2,2,18,9,2
0,3,8,0,32,12,0
1,2,3,4,20,11,2
0,1,2,0,21,13,3
2,1,6,0,26,8,6
4,2,5,6,23,6,8
0,1,8,0,23,11,6
0,3,8,0,20,10,0
2,2,2,2,21,10,1
2,0,5,0,25,13,0
0,2,5,2,20,8,1
0,3,4,0,14,4,9
0,1,4,0,17,4,9
1,2,6,2,26,9,2
2,3,4,0,18,7,3
4,3,9,0,28,7,6
0,0,3,2,18,8,7
1,3,8,0,25,10,6
2,3,7,0,25,8,6
3,2,2,0,17,8,6
3,1,6,0,26,7,6
1,4,1,2,6,5,2
1,2,8,0,21,6,12
2,2,9,0,34,15,0
0,2,5,2,19,5,7
4,1,3,1,28,9,8
3,0,4,0,19,10,6
0,3,7,0,29,12,6
0,2,2,0,21,9,6
6,1,5,0,19,6,6
0,4,12,0,24,8,0
1,1,6,2,23,13,8
3,0,4,0,20,10,0
2,1,6,0,24,5,0
1,3,5,4,17,10,1
0,2,5,2,22,8,4
4,2,6,0,27,11,9
1,1,4,0,22,10,0
0,4,11,0,28,8,6
3,2,2,0,17,5,6
0,3,4,0,26,10,6
1,3,5,0,26,11,12
2,1,5,0,17,7,6
0,1,2,0,20,13,3
0,3,1,2,12,6,10
1,4,9,0,24,8,6
0,1,3,0,16,7,3
0,2,7,0,32,13,0
0,2,8,0,24,10,12
1,0,4,0,11,4,6
0,3,2,2,23,10,2
0,3,7,0,22,7,6
0,3,8,0,18,2,3
0,3,8,0,23,8,6
2,3,7,0,23,8,0
0,3,7,0,23,7,6
0,2,8,0,26,10,6
0,5,6,0,20,12,6
1,1,3,0,13,4,6
0,2,8,0,30,12,0
2,1,12,0,32,8,6
1,1,1,0,11,5,6
2,2,2,0,28,14,0
0,2,8,0,32,12,0
1,2,2,0,15,5,12
3,3,5,0,16,6,12
2,2,9,0,31,7,6
0,3,8,0,32,12,0
3,1,6,0,27,11,0
0,3,5,2,22,8,1
1,4,7,0,26,10,0
2,3,10,0,27,6,12
0,1,5,0,24,9,6
0,2,5,0,35,16,0
0,2,8,2,22,9,4
0,2,8,0,28,11,6
2,2,5,0,27,9,0
3,1,2,0,21,14,3
0,1,6,2,27,7,1
1,0,3,0,16,7,3
4,1,6,0,28,6,12
0,2,2,2,17,6,7
0,1,5,0,25,11,0
0,1,5,0,25,12,24
3,2,2,0,22,10,6
1,3,5,0,24,11,0
6,0,0,0,22,10,6
0,3,7,2,17,7,6
0,1,2,2,24,15,6
2,3,4,0,20,10,0
1,1,5,0,18,10,6
0,1,4,0,16,3,9
0,3,5,0,25,9,0
1,2,3,2,20,7,8
1,0,0,0,8,3,3
2,1,3,0,25,14,9
0,0,5,4,21,8,11
0,2,2,2,14,4,10
4,1,3,4,23,6,8
2,3,1,0,13,7,0
0,3,4,0,16,6,6
1,1,2,0,15,7,6
1,0,0,2,9,5,4
2,2,6,4,28,10,8
0,2,6,0,24,8,3
0,2,9,4,34,22,5
0,4,4,0,24,7,8
0,3,4,4,14,5,2
1,3,4,0,17,7,6
0,3,10,0,20,8,6
0,2,9,4,29,8,2
1,0,6,0,19,8,0
0,2,2,2,25,11,1
0,3,2,2,19,8,2
2,3,8,0,23,5,12
0,2,5,0,25,10,12
2,4,4,0,26,10,0
2,2,8,0,34,13,6
2,2,4,1,25,14,2
2,2,5,0,29,13,6
1,1,3,2,19,11,4
2,1,2,0,17,9,6
3,0,0,0,17,10,6
0,2,5,0,18,7,6
2,2,2,2,21,5,9
2,2,5,0,22,10,6
0,3,11,0,26,8,0
0,1,3,0,23,9,0
0,3,11,2,26,8,10
2,0,4,0,24,11,6
0,2,4,0,28,12,0
0,3,7,0,30,20,0
2,3,11,0,31,10,6
0,1,7,2,24,6,9
0,2,6,4,21,10,1
1,2,2,0,17,4,12
0,3,7,0,27,9,0
0,2,10,0,24,8,0
0,2,5,0,29,11,3
1,2,2,0,15,7,3
4,1,6,6,33,8,12
6,0,3,0,16,10,6
0,1,3,0,11,3,6
4,2,3,0,20,9,6
2,3,4,0,15,6,6
1,2,2,0,17,9,3
2,2,2,0,20,8,0
2,1,6,0,23,5,8
0,4,6,0,18,5,6
2,2,6,8,27,10,3
0,2,8,4,22,6,5
0,3,5,0,17,7,6
2,1,3,2,22,5,12
4,2,8,2,20,9,9
2,2,2,2,17,8,2
2,0,0,0,14,9,0
0,4,4,2,13,6,2
0,1,5,0,15,7,0
0,2,11,0,31,12,6
0,2,8,0,14,4,6
3,2,4,0,23,13,6
0,3,5,0,21,9,0
0,1,4,2,24,9,10
4,2,4,0,22,13,6
1,0,8,0,21,7,18
0,2,2,2,25,11,4
3,0,0,0,13,7,0
3,0,0,2,12,5,4
0,1,3,0,23,12,0
2,0,3,0,27,10,0
4,2,8,0,19,7,6
1,2,6,2,24,12,4
0,2,11,0,28,9,6
0,3,7,0,27,12,0
1,2,6,4,15,7,1
0,0,6,8,18,6,13
0,1,6,3,25,10,6
0,2,2,0,15,4,6
0,4,4,0,24,14,0
0,3,4,0,18,14,6
0,5,11,4,29,12,1
0,2,5,2,22,5,10
0,2,5,0,23,10,6
0,2,6,4,21,9,1
2,3,1,0,11,6,0
0,4,6,0,22,8,12
0,1,5,0,31,14,0
0,2,2,0,18,7,6
0,3,8,0,30,8,6
0,4,6,0,14,6,0
1,3,7,0,28,12,6
4,1,3,0,21,8,6
2,1,3,3,25,8,12
0,2,8,0,29,9,6
3,2,2,0,31,16,0
2,2,5,0,23,10,0
0,3,8,2,29,11,7
0,2,2,0,26,14,0
4,1,3,0,20,7,0
0,1,4,2,21,10,8
0,2,7,4,20,8,2
0,3,5,2,28,10,4
3,1,3,0,22,8,6
0,1,4,0,23,9,12
0,2,5,2,24,8,4
0,2,10,0,22,11,6
3,2,8,0,25,7,0
0,3,6,4,18,7,7
0,3,4,0,16,9,6
2,3,7,0,33,16,0
0,5,7,0,31,13,0
0,3,2,0,16,6,0
0,2,6,0,16,4,12
2,3,7,2,21,6,3
0,2,2,0,19,7,6
2,2,5,0,17,8,0
0,3,7,0,23,8,6
0,2,8,1,26,8,8
0,2,5,0,18,8,6
0,3,10,0,20,7,0
0,4,10,0,29,9,6
0,2,11,0,33,11,6
0,4,9,0,17,6,6
3,3,4,0,21,12,0
2,3,1,0,17,10,6
1,1,4,0,18,7,6
0,3,4,0,9,3,6
0,3,11,0,28,10,0
0,2,4,0,23,8,3
2,1,3,6,22,9,6
7,2,5,0,22,6,6
0,2,5,2,26,9,7
4,1,3,0,21,7,6
0,2,2,0,28,11,6
4,3,1,0,21,11,0
1,1,6,0,22,6,6
2,3,4,0,20,7,3
2,2,2,0,19,8,6
1,2,8,0,25,8,3
0,2,2,0,24,10,0
0,1,3,2,25,11,0
0,1,3,0,27,16,0
1,2,5,0,22,12,0
0,2,2,0,20,10,6
2,2,2,0,17,5,11
1,1,4,0,21,8,6
0,4,7,0,17,6,6
0,0,6,0,18,8,6
0,3,7,0,19,4,6
0,3,10,0,21,8,0
0,0,3,4,23,11,7
0,2,8,2,25,11,4
2,1,3,1,18,3,8
0,3,7,2,26,12,6
2,2,2,0,26,11,3
0,2,9,0,34,15,6
3,4,10,0,20,9,6
0,3,7,0,21,7,6
2,3,1,0,23,14,0
0,4,6,0,11,8,6
0,3,5,0,24,8,6
0,3,8,4,19,7,6
0,3,5,0,17,7,3
0,3,4,0,26,12,0
0,3,8,0,21,9,0
1,0,2,4,9,3,8
0,4,3,2,14,5,10
0,2,9,0,27,10,12
1,2,2,2,12,6,4
0,2,6,2,23,6,7
0,3,7,0,26,10,6
1,1,3,0,17,6,6
8,0,0,0,32,23,0
2,2,4,0,29,10,12
2,2,2,2,21,8,4
0,5,8,0,22,13,0
0,2,6,4,32,14,4
2,0,0,4,21,10,2
1,3,6,0,13,7,6
0,3,4,0,15,8,0
0,3,7,0,21,7,9
0,4,7,2,21,8,4
0,3,7,2,18,6,1
0,3,5,0,31,14,0
0,1,6,4,24,8,7
0,2,5,4,18,11,2
2,1,6,0,30,9,6
0,2,5,0,29,13,9
0,5,6,0,22,10,0
1,1,3,3,18,8,3
0,3,6,0,19,8,0
1,2,2,2,24,14,1
0,1,3,0,17,7,0
3,0,3,0,17,8,6
0,2,5,0,25,9,6
0,4,10,0,26,5,6
1,2,3,4,23,18,1
0,2,2,0,26,13,6
4,2,5,0,27,10,6
0,3,4,2,21,7,4
4,3,1,0,17,9,6
1,0,0,2,9,5,4
3,1,3,0,20,5,12
0,3,10,0,19,4,6
0,1,7,0,10,4,6
4,2,5,0,21,8,0
0,3,11,0,33,10,6
0,3,5,0,33,15,0
4,2,2,0,22,7,6
0,2,5,2,16,5,10
0,2,8,1,22,6,1
1,1,3,0,24,11,0
0,3,7,2,22,6,6
4,1,3,0,19,9,12
0,3,5,0,22,9,0
2,1,6,0,26,7,6
0,2,8,2,23,10,4
0,4,1,6,13,7,5
0,4,6,0,16,10,0
0,1,5,0,7,1,9
12,0,0,0,30,13,0
3,0,3,0,18,7,0
2,1,3,0,19,9,0
4,2,2,2,25,11,4
1,3,5,0,24,15,0
4,2,5,0,27,8,6
0,1,3,0,30,13,0
2,3,1,0,29,15,0
4,2,5,0,23,5,6
1,1,6,2,22,8,10
8,2,3,0,23,5,12
1,3,2,4,21,11,0
1,2,4,0,16,7,6
0,3,8,4,29,11,6
2,1,5,6,12,3,3
4,3,1,0,25,12,6
2,2,5,0,29,10,0
2,4,11,0,23,9,6
2,3,7,0,27,13,0
4,1,5,0,31,12,6
1,1,6,0,23,6,12
2,3,11,0,30,10,0
0,2,6,0,18,7,9
0,3,4,0,18,10,9
0,3,1,0,21,10,0
