"('P', 'N', 2)","('C', 'N', 2)","('C', 'S', 2)","('O', 'C', 1)","('O', 'C', 1.5)","('P', 'O', 2)","('S', 'C', 1)","('S', 'C', 1.5)","('N', 'H', 1)","('S', 'S', 1)","('N', 'S', 1)","('N', 'S', 1.5)","('F', 'O', 1)","('O', 'P', 1)","('S', 'P', 1)","('O', 'N', 2)","('S', 'N', 2)","('C', 'Br', 1)","('C', 'Cl', 1)","('O', 'O', 1)","('N', 'N', 3)","('P', 'S', 2)","('N', 'Br', 1)","('I', 'C', 1)","('C', 'F', 1)","('N', 'Cl', 1)","('N', 'C', 1)","('N', 'C', 1.5)","('F', 'N', 1)","('O', 'C', 2)","('C', 'H', 1)","('C', 'C', 2)","('O', 'S', 2)","('N', 'C', 3)","('S', 'S', 2)","('O', 'N', 1)","('O', 'N', 1.5)","('S', 'O', 1)","('P', 'N', 1)","('N', 'N', 2)","('O', 'H', 1)","('S', 'H', 1)","('P', 'H', 1)","('P', 'C', 1)","('C', 'C', 1)","('C', 'C', 1.5)","('C', 'C', 3)","('N', 'N', 1.5)","('N', 'N', 1)"
0.0,0.13615561841109605,0.020170755269022806,1.0921827272408393,0.2414866956798959,1.5721278017186e-09,0.5438100040374246,0.4225279929945335,2.0737511186453697,4.4807339197557906e-110,0.011982883904314106,0.020675591820059437,0.0,4.716383360403834e-09,0.0,0.030795288098978735,0.0,0.10993877584218155,0.18162044816501072,0.0,0.0,5e-324,0.0,3.0021208375559787e-05,0.3557258203267333,0.0,4.102469685736769,1.3937084374408095,0.0,0.5763129628744715,17.45059884338514,0.10096366552022547,0.16474174679366402,0.03915609269587846,0.0,0.0313449188070484,0.03717957937746197,1.8341968812633318e-175,6.904665660127132e-280,0.00011378256159753245,0.11139300678601154,0.22089913684617885,0.0,4.475195839586578e-17,6.4815559603078645,5.220418050833767,0.033821295209167074,0.039063015652815856,0.1859516702481018
0.0,0.07076369402931153,0.008029568585485241,1.1220404151369854,0.24687144459409502,5.2280190798570014e-12,0.3706744214986107,0.3091899710808465,2.1580117507181096,3.013836910894976e-127,0.02876008873933128,0.013306906010333172,0.0,1.56840572311399e-11,0.0,0.04035171907062746,0.0,0.05888413267630824,0.14640200939316078,0.0,0.0,5e-324,0.0,1.0788194375318118e-06,0.2635785192935225,0.0,5.165827347726465,1.2190787620834571,0.0,0.7198860255875689,21.79853130770023,0.13117551903390054,0.1521151184286814,0.04098096388004349,0.0,0.047947461034655116,0.04840098187061613,7.051148106200988e-202,7.1966e-320,0.0017582238459951471,0.12546625235297792,0.1612593423437061,0.0,8.43111539385844e-21,8.46846956693417,6.0107021684880495,0.01356585735596418,0.020510712278815124,0.20711652112225082
0.0,0.04683069187672035,0.007691298417391219,1.0501210943246482,0.17890280462968058,1.307427536116155e-11,0.2646855613293242,0.24302708689512978,2.1822038026585333,1.6721282655722367e-108,0.03962615076251917,0.004404014189128947,0.0,3.9222825399518384e-11,0.0,0.027429751525508906,0.0,0.01431107956179728,0.05933057938420794,0.0,0.0,5e-324,0.0,2.470252680400575e-07,0.1388621581083279,0.0,6.311693334148417,0.8517660877828273,0.0,0.7720571295000211,26.110921117892456,0.1456504161700877,0.16534371483462706,0.04511162800266584,0.0,0.055341343512945215,0.05485765878285407,5.198839229930985e-170,7.008284068460061e-268,0.008299830983490266,0.16135412861077675,0.12419740190973393,0.0,6.839662318340311e-19,10.805092749026251,4.592266472065333,0.004949614874313034,0.024719180571586848,0.20944561938443193
